"id","permit_","permit_type","review_type","application_start_date","issue_date","processing_time","street_number","street_direction","street_name","work_description","building_fee_paid","zoning_fee_paid","other_fee_paid","subtotal_paid","building_fee_unpaid","zoning_fee_unpaid","other_fee_unpaid","subtotal_unpaid","building_fee_waived","zoning_fee_waived","other_fee_waived","subtotal_waived","total_fee","reported_cost","community_area","census_tract","ward","latitude","longitude","location",":id",":version",":created_at",":updated_at",":@computed_region_rpca_8um6",":@computed_region_vrxf_vc4k",":@computed_region_6mkv_f3dw",":@computed_region_bdys_3d7i",":@computed_region_43wa_7qmu",":@computed_region_awaf_s7ux"
"3113685","100866768","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2020-04-09T00:00:00.000","2020-05-21T00:00:00.000","42","2306","S","ARCHER AVE","INTERIOR BUILD OUT FOR A RESTAURANT ON FIRST FLOOR OF AN EXISTING TWO STORIES SHOPPING CENTER AS PER PLAN. PERMIT INCLUDES THE ADDRESS RANGE OF 2306-08 S. ARCHER.","300","75","0","375","0","0","0","0","0","0","0","0","375","80000","34","841100","11","41.85091995741126","-87.63911563833268","POINT (-87.639115638333 41.850919957411)","row-78iy-945t-356h","rv-6prh-pw6k~xdf5","2025-10-14T20:50:16.306Z","2025-10-14T21:02:19.343Z","40","35","21194","3","48","8"
"3119243","100871074","PERMIT - RENOVATION/ALTERATION","SELF CERT","2020-05-19T00:00:00.000","2020-05-19T00:00:00.000","0","4919","N","LINCOLN AVE","SELF-CERT: 1ST FLOOR INTERIOR ALTERATION FOR A NEW LIMITED RESTAURANT (ICE-CREAM SHOP) IN EXISTING 4 STORY MIXED USE BRICK BUILDING. WORK TO BE DONE AT GROUND LEVEL ONLY TO INCLUDE ARCHITECTURE, PLUMBING, HVAC AND ELECTRIC WORK, AS PER ARCHITECT'S PLANS.","1500","75","0","1575","0","0","0","0","0","0","0","0","1575","25000","4","40201","40","41.97132697220239","-87.69012161456533","POINT (-87.690121614565 41.971326972202)","row-9frf-7z68~y6q5","rv-7dtb_ax8z.e83u","2025-10-14T20:50:16.306Z","2025-10-14T21:00:49.817Z","20","6","21849","28","24","13"
"3119443","100871262","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2020-04-24T00:00:00.000","2020-05-19T00:00:00.000","25","1160","N","CLARK ST","PROPOSED TENANT BUILD-OUT OF AN EXISTING 1ST FLOOR COMMERCIAL SPACE WITH BASEMENT FOR A NEW TACO BELL RESTAURANT IN 5 STORY BRICK BUILDING WITH BASEMENT AS PER PLANS.","1342.61","75","0","1417.61","0","0","0","0","0","0","0","0","1417.61","155000","8","81000","27","41.903609451824686","-87.63158311098476","POINT (-87.631583110985 41.903609451825)","row-ye28_k2ui~p5xr","rv-pvqu-ubhx_jw2g","2025-10-14T20:50:16.306Z","2025-10-14T21:00:49.817Z","54","37","14926","310","46","22"
"3121704","100873277","PERMIT - RENOVATION/ALTERATION","SELF CERT","2020-05-18T00:00:00.000","2020-05-18T00:00:00.000","0","2000","N","CLYBOURN AVE","SELF-CERT PROJECT: INTERIOR ALTERATIONS TO AN EXISTING CHIPOTLE RESTAURANT IN SUITE H, AS PER PLANS. (NO CHANGE IN USE).","763.68","75","0","838.68","0","0","0","0","0","0","0","0","838.68","96000","7","832500","2","41.91758179156386","-87.6590228976662","POINT (-87.659022897666 41.917581791564)","row-8pep-ck7x-dtm3","rv-u573_bwty.drej","2025-10-14T20:50:16.306Z","2025-10-14T21:00:49.817Z","16","68","21190","210","11","51"
"3119949","100871714","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2020-04-30T00:00:00.000","2020-05-18T00:00:00.000","18","1925","S","MAY ST","DEMO ONLY - REMOVE EXISTING NON-LOAD BEARING WALLS/LATHING WITH ASSOCIATED ELECTRICAL/PLUMBING WORK, REMOVE EXISTING HVAC/RESTAURANT EQUIPMENT IN 1ST FLOOR RETAIL AT EXISTING 4 D.U./RETAIL BUILDING AS PER PLAN.","1000","50","0","1050","0","0","0","0","0","0","0","0","1050","10000","31","310500","25","41.85583089240881","-87.65464214035997","POINT (-87.65464214036 41.855830892409)","row-44ts.qzep.7ewy","rv-kwdm_wkxd~xbth","2025-10-14T20:50:16.306Z","2025-10-14T21:02:19.343Z","43","33","14920","251","26","8"
"3119467","100871283","PERMIT - RENOVATION/ALTERATION","SELF CERT","2020-05-18T00:00:00.000","2020-05-18T00:00:00.000","0","2438","W","CERMAK RD","SELF-CERTIFICATION FOR THE ALTERATION TO AN EXISTING ORDER COUNTER AREA IN A C-2 OCCUPANCY IN A MCDONALD'S RESTAURANT.  CHANGES INCLUDE NEW MENU BOARD WALL, COUNTERS, HAND SINK AND RELOCATED ELECTRICAL TO SERVE THE POS AND MENU BOARDS.  THE CURRENT OCCUPANCY CLASSIFICATION WILL REMAIN UN-CHANGED.","3988.38","75","0","4063.38","0","0","0","0","0","0","0","0","4063.38","55000","31","841200","28","41.852124531448574","-87.68728216490156","POINT (-87.687282164902 41.852124531449)","row-8acw-2m9v_f5ss","rv-vdmt-i59s.y85s","2025-10-14T20:50:16.306Z","2025-10-14T21:00:49.817Z","43","33","14920","4","23","8"
"3103447","100860478","PERMIT - RENOVATION/ALTERATION","SELF CERT","2020-05-18T00:00:00.000","2020-05-18T00:00:00.000","0","5533","S","HARLEM AVE","SELF-CERT: FIRST-TIME TENANT BUILD-OUT FOR A GROUND FLOOR MERCANTILE SPACE TO ACCOMMODATE NEW CHIPOTLE RESTAURANT AS PER PLANS. STRUCTURAL PEER REVIEW INCLUDED. NEW CODE","1500","75","0","1575","0","0","0","0","0","0","0","0","1575","425000","56","561000","23","41.790889200425","-87.80133630631802","POINT (-87.801336306318 41.790889200425)","row-kxhk-ez4q.ztk2","rv-ha37-3qd5.5swr","2025-10-14T20:50:16.306Z","2025-12-24T13:12:28.643Z","7","53","22268","589","6","35"
"3106173","100862010","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2020-02-18T00:00:00.000","2020-05-13T00:00:00.000","85","10500","S","WESTERN AVE","INTERIOR ALTERATIONS AND BUILDING ADDITION PER PLANS, CURRENT OCCUPANCY CLASSIFICATION IS F, MERCANTILE (RESTAURANT LESS THAN 100 PERSONS), PROPOSED OCCUPANCY CLASSIFICATION IS F MERCANTILE (RESTAURANT LESS THAN 100 PERSONS). PROVIDE NEW TRASH ENCLOSURE PER PLANS.(CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS)","1650","150","0","1800","0","0","0","0","0","0","0","0","1800","300000","72","720500","19","41.70263854931954","-87.68164578260658","POINT (-87.681645782607 41.70263854932)","row-8hqe~d6d4.8zaq","rv-jysg~eity-v8tp","2025-10-14T20:50:16.306Z","2025-10-14T22:28:47.593Z","33","71","22212","553","42","33"
"3119006","100870871","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2020-04-20T00:00:00.000","2020-05-13T00:00:00.000","23","1365","E","53RD ST","PROPOSED TENANT BUILD-OUT OF AN EXISTING 1ST FLOOR COMMERCIAL SPACEFOR A NEW TACO BELL RESTAURANT IN 3 STORY MIX USE BRICK BUILDING AS PER PLANS.","1665.3","75","0","1740.3","0","0","0","0","0","0","0","0","1740.3","150000","41","410700","5","41.79939207994461","-87.59252717506219","POINT (-87.592527175062 41.799392079945)","row-x2av_6qi7.xeij","rv-nvd9_fv4d.kju8","2025-10-14T20:50:16.306Z","2025-10-14T22:28:47.593Z","10","8","21192","499","33","1"
"3116224","100868480","PERMIT - RENOVATION/ALTERATION","SELF CERT","2020-05-13T00:00:00.000","2020-05-13T00:00:00.000","0","2161","S","CHINA PL","SELF-CERT: INTERIOR REMODEL OF EXISTING 1ST FLOOR RESTAURANT SPACE WITH ASSOCIATED MECHANICAL, ELECTRICAL AND PLUMBING WORK PER PLANS.","750","75","0","825","0","0","0","0","0","0","0","0","825","300000","34","841100","25","41.85360598561056","-87.63509440854334","POINT (-87.635094408543 41.853605985611)","row-zrim.vgg8_7xbe","rv-tfx7-bsr8_bs34","2025-10-14T20:50:16.306Z","2025-10-14T21:00:49.817Z","40","35","21194","3","26","8"
